dataset,shapelet_num,shapelet_len,crop_len,train_acc,test_acc
ECG200,40,24,4,0.930000,0.860000
ECG200,40,24,12,0.970000,0.880000
ECG200,40,24,16,0.900000,0.890000
ECG200,40,24,24,0.910000,0.880000
ECG200,40,33,6,0.980000,0.930000
ECG200,40,33,16,0.910000,0.920000
ECG200,40,33,23,0.890000,0.880000
ECG200,40,33,33,0.920000,0.900000
ECG200,50,14,2,0.960000,0.870000
ECG200,50,14,7,0.900000,0.880000
ECG200,50,14,9,0.870000,0.850000
ECG200,50,14,14,0.980000,0.890000
ECG200,50,24,4,0.950000,0.860000
ECG200,50,24,12,0.910000,0.880000
ECG200,50,24,16,0.930000,0.910000
ECG200,50,24,24,0.960000,0.850000
ECG200,50,33,6,0.960000,0.940000
ECG200,50,33,16,0.960000,0.910000
ECG200,50,33,23,0.950000,0.880000
ECG200,50,33,33,0.930000,0.930000
ECG200,60,14,2,0.950000,0.880000
ECG200,60,14,7,0.980000,0.910000
ECG200,60,14,9,0.970000,0.890000
ECG200,60,14,14,0.910000,0.910000
ECG200,60,24,4,0.920000,0.890000
ECG200,60,24,12,0.980000,0.870000
ECG200,60,24,16,0.940000,0.890000
ECG200,60,24,24,0.980000,0.920000
ECG200,60,33,6,0.910000,0.930000
ECG200,60,33,16,0.900000,0.890000
ECG200,60,33,23,0.940000,0.910000
ECG200,60,33,33,0.900000,0.910000
ECGFiveDays,40,20,4,0.869565,0.783972
ECGFiveDays,40,20,14,1.000000,0.846690
ECGFiveDays,40,20,20,0.869565,0.816492
ECGFiveDays,40,34,34,0.826087,0.734030
ECGFiveDays,40,47,9,0.913043,0.984901
ECGFiveDays,40,47,23,0.913043,0.867596
ECGFiveDays,40,47,32,0.869565,0.842044
ECGFiveDays,40,47,47,0.956522,0.980256
ECGFiveDays,50,20,4,0.869565,0.825784
ECGFiveDays,50,20,10,0.869565,0.818815
ECGFiveDays,50,34,34,0.913043,0.835075
ECGFiveDays,50,47,9,0.956522,0.970964
ECGFiveDays,50,47,23,0.913043,0.893148
ECGFiveDays,50,47,32,0.869565,0.875726
ECGFiveDays,60,20,4,0.913043,0.853659
ECGFiveDays,60,20,10,1.000000,0.780488
ECGFiveDays,60,20,14,0.826087,0.822300
ECGFiveDays,60,20,20,0.913043,0.823461
ECGFiveDays,60,34,6,0.956522,0.923345
ECGFiveDays,60,34,17,0.826087,0.886179
ECGFiveDays,60,34,23,0.826087,0.818815
ECGFiveDays,60,34,34,0.826087,0.756098
ECGFiveDays,60,47,9,0.956522,0.966318
ECGFiveDays,60,47,23,0.956522,0.936121
ECGFiveDays,60,47,32,0.913043,0.813008
FordA,40,75,15,0.876146,0.784848
FordA,40,75,37,0.892808,0.796970
FordA,40,75,52,0.895862,0.796212
FordA,40,75,75,0.881422,0.796970
FordA,40,125,25,0.891697,0.799242
FordA,40,125,62,0.884754,0.779545
FordA,40,125,87,0.850042,0.793182
FordA,40,125,125,0.898084,0.814394
FordA,40,175,35,0.878367,0.759091
FordA,40,175,87,0.847542,0.768939
FordA,40,175,122,0.890864,0.769697
FordA,40,175,175,0.882533,0.746970
FordA,50,75,15,0.912524,0.800758
FordA,50,75,37,0.892252,0.812121
FordA,50,75,52,0.904471,0.801515
FordA,50,75,75,0.884754,0.798485
FordA,50,125,25,0.888920,0.818182
